Metrics,Median,Mean,Max,Std Dev
No. of nodes,2.0,2.0,2.0,0.0
Duration,7548.0854432582855,9387.184528183938,21803.03148686886,5370.8800103253
CPU util,19.860946863763484,20.061139901301715,46.18528058877645,13.242029282440647
Memory util,3.950031800996431,3.75979423788675,4.400584795321637,0.5171133991439885
