workload,task_id,TI_NNLS,TI_GM,SI_NNLS,SI_GM
w0,0,0.3411388236036288,0.0,0.9320111753550425,0.9909919028340081
w0,13,0.43980799732197573,0.0,0.7182799941152241,0.8733974358974359
w0,21,0.2929021643977495,0.0,1.0,1.0
w0,23,0.0946243236094586,0.0,0.44979450555283046,0.3695090439276486
w0,22,0.42448019348830857,0.0,1.0,1.0
w0,24,0.0,,1.0,
w0,25,0.43962947733420343,0.0,1.0,1.0
w0,26,0.5755067222819878,0.0,1.0,1.0
w0,27,0.3857925089081621,0.0,1.0,1.0
w0,28,0.5824276558542878,0.0,1.0,1.0
w0,41,0.16528346169957508,0.0,0.6393728894323829,0.6882223806129723
w0,29,0.6661007783176407,0.0,1.0,1.0
w0,31,0.43940237798631465,,1.0,
w0,32,0.11453862234927781,0.0,1.0,1.0
w0,1,0.24442733604894673,0.0,1.0,1.0
w0,33,0.3894363339098844,0.0,1.0,1.0
w0,34,0.30649818266907625,0.0,1.0,1.0
w0,2,0.0015969829429278715,0.0,1.0,1.0
w0,4,0.04233944958998859,,1.0,
w0,35,0.0,0.0,1.0,1.0
w0,36,0.44367540767174785,0.0,1.0,1.0
w0,38,0.44180405636396336,0.0,1.0,1.0
w0,39,0.23699789201388488,,1.0,
w0,42,0.29052844301921144,0.0,1.0,1.0
w0,43,0.39477446746944755,0.0,1.0,1.0
w0,5,0.39761904144321314,0.0,1.0,1.0
w0,6,0.41834909432161893,,1.0,
w0,9,0.3896514813984614,0.0,1.0,1.0
w0,10,0.3903245082654603,0.0,1.0,1.0
w0,11,0.47069288275787713,,1.0,
w0,44,0.40143679027715895,0.0,0.7480250940676691,0.6351836764824467
w0,12,0.34438006792062315,0.0,1.0,1.0
w0,15,0.0,,1.0,
w0,16,0.46792691765083694,,1.0,
w0,17,0.28346567041186665,,1.0,
w0,18,0.35248155215976673,0.0,1.0,1.0
w0,19,0.0,,1.0,
w0,45,0.32846866598464464,0.0,1.0,1.0
w0,20,0.12360348538676247,0.0,1.0,1.0
w0,46,0.31205196753021325,0.0,1.0,1.0
w0,47,0.1327253618940868,0.0,1.0,1.0
w0,48,0.20795455111626338,0.0,1.0,1.0
w0,49,0.0741372073501897,0.0,1.0,1.0
w1,2,0.0,0.0,0.42801639122201063,0.3418803418803419
w1,3,0.22981207511215596,0.0,0.7305727425731915,0.7322033898305085
w1,7,0.0,0.0,0.4288757383717963,0.3418803418803419
w1,9,0.5189992495894723,0.0,1.0,1.0
w1,12,0.5,,1.0,
w1,13,0.0,0.0,0.4249225110778069,0.3311965811965812
w1,15,0.0,0.0,0.4169709764670344,0.33547008547008544
w1,20,0.22182236363658003,0.0,0.733754680884369,0.4694892473118279
w1,27,0.07940201871208585,0.0,1.0,1.0
w1,29,0.0,0.0,0.6133796352251945,0.7224024909865618
w1,34,0.0,,0.7863060604060053,
w1,36,0.0,0.0,0.6989339915827831,0.5838235294117646
w1,37,0.5,,1.0,
w1,40,0.0,0.0,0.4245366101750648,0.4419328912999799
w1,48,0.0,0.0,0.4479754219487112,0.468562204321698
w1,49,0.0,0.0,0.5151151924973626,1.0
w1,39,0.08755530832687997,0.0,0.9166666666666666,0.9565868263473053
w1,41,0.03798609677197329,0.0,1.0,1.0
w1,43,0.03412871227242509,0.0,1.0,1.0
w1,16,0.014835681674417844,0.0,1.0,1.0
w1,30,0.0001663339986692769,0.0,1.0,1.0
w1,42,0.009495737207755095,0.0,0.6785714285714285,0.6769102990033222
w1,0,0.0,0.0,1.0,1.0
w1,17,0.009191875049089693,0.0,1.0,1.0
w1,18,0.0,0.0,1.0,1.0
w1,22,0.00022166805209189455,0.0,1.0,1.0
w1,25,0.0,0.0,0.5694949150918538,0.7543052003410061
w1,26,0.00011880999904945178,0.0,1.0,1.0
w1,44,0.00011528098917668039,0.0,1.0,1.0
w1,5,3.780318151558326e-05,0.0,1.0,1.0
w1,24,0.6461972046221178,0.0,0.8325130446016689,0.5519730038892702
w1,31,0.28758864570468345,0.0,1.0,1.0
w1,32,0.24418367085294235,,1.0,
w1,11,0.5555555555532755,0.0,1.0,1.0
w1,33,0.0577662416451149,0.0,1.0,1.0
w1,45,0.0,,1.0,
w1,1,0.28701538323762577,0.0,1.0,1.0
w1,8,0.5,,1.0,
w1,10,0.3138179010434534,0.0,1.0,1.0
w1,14,0.5,,1.0,
w1,19,0.008888888888888835,0.0,1.0,1.0
w1,21,0.35677813007791614,0.0,1.0,1.0
w1,23,0.0,,1.0,
w1,28,0.4668027755256473,,1.0,
w1,35,0.0,,1.0,
w1,38,0.0,,1.0,
w1,46,0.0,,1.0,
w1,47,0.4444444444444444,,1.0,
w1,4,6.160518469244813e-05,0.0,1.0,1.0
w1,6,0.00030692499520434957,0.0,1.0,1.0
w2,5,0.0765485155761465,0.0,0.19926119144952453,0.20952380952380953
w2,10,0.05088313051956561,0.0,0.50625,0.5044642857142857
w2,15,2.0040240803487208e-05,0.0,1.0,1.0
w2,27,0.5236749312644442,0.0,1.0,1.0
w2,32,0.04545454545453664,0.0,0.19436279702511164,0.18876327509421034
w2,38,0.2934293902327878,0.0,0.33064967909089005,0.26815786760599275
w2,41,0.5103143005147432,0.0,0.3673430135209179,0.20154677059656906
w2,43,0.0,0.0,0.5090226764611944,0.5100806451612904
w2,4,0.13090081869829862,0.0,1.0,1.0
w2,9,0.00011528098917668039,0.0,1.0,1.0
w2,1,0.5310410654115312,0.0,0.684004238760206,0.7104221635883905
w2,7,0.5714285714285714,0.0,1.0,1.0
w2,12,0.1381299149273899,0.0,1.0,1.0
w2,18,0.3052279341379789,0.0,1.0,1.0
w2,22,0.0,0.0,0.7650995615056251,0.4230888542049625
