Metrics,Median,Mean,Max,Std Dev
No. of nodes,10.0,10.0,10.0,0.0
Duration,802.7030326485634,819.6749508565122,1505.3768127679825,367.52832642312666
CPU util (peak),50.349999999999994,55.554545454545455,94.3,11.971812624688924
Memory util (peak),15.0,21.272727272727273,46.0,11.631390982954152
