node,task_id,mean_est
x3003c0s31b0n0,2,48.1
x3003c0s31b0n0,6,22.4
x3003c0s31b0n0,8,26.3
x3003c0s31b0n0,15,2.0
x3003c0s31b0n0,22,4.2
x3003c0s31b0n0,24,46.70793650793651
x3003c0s31b0n0,29,46.7
x3003c0s31b0n0,33,45.78181818181818
x3003c0s31b0n0,36,2.2
x3003c0s31b0n0,42,12.25
x3003c0s31b0n0,45,43.800000000000004
x3003c0s31b0n0,49,47.371428571428574
x3003c0s31b1n0,2,48.0
x3003c0s31b1n0,6,18.4
x3003c0s31b1n0,8,26.4
x3003c0s31b1n0,15,2.4
x3003c0s31b1n0,22,4.45
x3003c0s31b1n0,24,41.64444444444446
x3003c0s31b1n0,29,45.2
x3003c0s31b1n0,36,2.25
x3003c0s31b1n0,42,11.7
x3003c0s31b1n0,45,44.79090909090909
x3003c0s31b1n0,49,48.14761904761905
x3004c0s1b0n0,2,48.2
x3004c0s1b0n0,6,23.5
x3004c0s1b0n0,8,26.5
x3004c0s1b0n0,11,6.2
x3004c0s1b0n0,13,42.53333333333333
x3004c0s1b0n0,15,2.2
x3004c0s1b0n0,20,45.120000000000005
x3004c0s1b0n0,22,5.1000000000000005
x3004c0s1b0n0,23,25.849999999999998
x3004c0s1b0n0,29,46.1
x3004c0s1b0n0,30,2.6
x3004c0s1b0n0,33,45.10909090909091
x3004c0s1b0n0,36,2.15
x3004c0s1b0n0,42,8.3
x3004c0s1b0n0,45,47.87272727272727
x3004c0s1b0n0,49,46.62857142857143
x3004c0s1b1n0,2,48.3
x3004c0s1b1n0,6,18.4
x3004c0s1b1n0,8,26.9
x3004c0s1b1n0,11,20.5
x3004c0s1b1n0,13,43.6
x3004c0s1b1n0,15,2.1
x3004c0s1b1n0,20,47.215555555555554
x3004c0s1b1n0,22,4.6000000000000005
x3004c0s1b1n0,23,26.6
x3004c0s1b1n0,30,2.4
x3004c0s1b1n0,33,46.17272727272728
x3004c0s1b1n0,36,2.4
x3004c0s1b1n0,42,9.649999999999999
x3004c0s1b1n0,45,48.054545454545455
x3004c0s1b1n0,49,46.87142857142856
x3004c0s25b0n0,2,48.2
x3004c0s25b0n0,4,
x3004c0s25b0n0,5,
x3004c0s25b0n0,7,
x3004c0s25b0n0,8,25.7
x3004c0s25b0n0,10,0.0
x3004c0s25b0n0,14,46.82000000000001
x3004c0s25b0n0,15,2.4
x3004c0s25b0n0,18,
x3004c0s25b0n0,19,47.03846153846154
x3004c0s25b0n0,22,2.4000000000000004
x3004c0s25b0n0,25,31.45
x3004c0s25b0n0,27,19.6
x3004c0s25b0n0,28,
x3004c0s25b0n0,29,46.9
x3004c0s25b0n0,30,4.8
x3004c0s25b0n0,33,46.20909090909091
x3004c0s25b0n0,35,
x3004c0s25b0n0,36,2.1
x3004c0s25b0n0,38,29.09375
x3004c0s25b0n0,42,11.1
x3004c0s25b0n0,44,29.04
x3004c0s25b0n0,45,48.13636363636365
x3004c0s25b0n0,47,48.5
x3004c0s25b1n0,2,47.3
x3004c0s25b1n0,4,4.300000000000001
x3004c0s25b1n0,7,13.7
x3004c0s25b1n0,18,32.06818181818182
x3004c0s25b1n0,25,30.200000000000003
x3004c0s25b1n0,27,46.536363636363646
x3004c0s25b1n0,31,48.583544303797474
x3004c0s7b0n0,0,25.275
x3004c0s7b0n0,2,47.3
x3004c0s7b0n0,6,18.8
x3004c0s7b0n0,7,24.56666666666667
x3004c0s7b0n0,8,7.5
x3004c0s7b0n0,9,46.73333333333333
x3004c0s7b0n0,10,34.48333333333333
x3004c0s7b0n0,11,20.166666666666668
x3004c0s7b0n0,13,44.300000000000004
x3004c0s7b0n0,15,7.6
x3004c0s7b0n0,18,28.3
x3004c0s7b0n0,21,
x3004c0s7b0n0,22,4.0
x3004c0s7b0n0,23,26.65
x3004c0s7b0n0,25,32.0
x3004c0s7b0n0,26,0.0
x3004c0s7b0n0,27,6.476666666666668
x3004c0s7b0n0,28,0.0
x3004c0s7b0n0,29,31.2
x3004c0s7b0n0,33,45.527272727272724
x3004c0s7b0n0,34,
x3004c0s7b0n0,36,2.2
x3004c0s7b0n0,38,5.873333333333332
x3004c0s7b0n0,40,
x3004c0s7b0n0,42,5.800000000000001
x3004c0s7b0n0,43,5.0
x3004c0s7b0n0,45,48.55454545454545
x3004c0s7b0n0,47,48.5
x3004c0s7b0n0,48,1.5599999999999998
x3005c0s19b1n0,1,17.841176470588238
x3005c0s19b1n0,2,30.45882352941176
x3005c0s19b1n0,3,22.175
x3005c0s19b1n0,6,23.5
x3005c0s19b1n0,7,2.1642857142857146
x3005c0s19b1n0,8,25.1
x3005c0s19b1n0,10,21.70833333333333
x3005c0s19b1n0,11,11.338333333333331
x3005c0s19b1n0,13,26.224999999999998
x3005c0s19b1n0,15,1.8
x3005c0s19b1n0,18,0.0
