node,task_id,mean_est
x3004c0s37b1n0,39,27.525000000000002
x3004c0s37b1n0,43,31.2
x3004c0s37b1n0,44,16.65
x3004c0s37b1n0,47,36.07727272727273
x3004c0s37b1n0,48,12.5
x3005c0s19b0n0,0,
x3005c0s19b0n0,1,0.08982683982683959
x3005c0s19b0n0,3,43.68181818181818
x3005c0s19b0n0,6,
x3005c0s19b0n0,7,39.6
x3005c0s19b0n0,8,
x3005c0s19b0n0,10,
x3005c0s19b0n0,11,1.9
x3005c0s19b0n0,13,23.5
x3005c0s19b0n0,15,
x3005c0s19b0n0,16,46.06153846153847
x3005c0s19b0n0,17,
x3005c0s19b0n0,20,7.63982683982684
x3005c0s19b0n0,22,6.051190476190476
x3005c0s19b0n0,25,5.325
x3005c0s19b0n0,27,1.7363636363636363
x3005c0s19b0n0,29,41.0
x3005c0s19b0n0,31,48.5
x3005c0s19b0n0,33,42.46666666666667
x3005c0s19b0n0,34,12.176190476190477
x3005c0s19b0n0,35,26.9
x3005c0s19b0n0,38,
x3005c0s19b0n0,39,34.4
x3005c0s19b0n0,42,
x3005c0s19b0n0,43,31.6
x3005c0s19b0n0,44,18.0
x3005c0s19b0n0,47,6.423809523809524
x3005c0s19b0n0,48,16.2
x3005c0s19b1n0,7,34.46666666666667
x3005c0s19b1n0,8,48.3
x3005c0s19b1n0,11,2.4
x3005c0s19b1n0,16,42.50769230769231
x3005c0s19b1n0,21,26.65
x3005c0s19b1n0,28,46.673809523809524
x3005c0s19b1n0,31,48.5
x3005c0s19b1n0,33,40.40833333333334
x3005c0s19b1n0,40,45.23333333333333
x3005c0s19b1n0,43,22.1
x3005c0s19b1n0,48,30.7
x3005c0s19b1n0,49,44.19130434782608
