node,task_id,mean_est
x3002c0s13b0n0,2,1.9074074074074066
x3002c0s13b0n0,3,7.9
x3002c0s13b0n0,6,11.846153846153847
x3002c0s13b0n0,7,1.4074074074074066
x3002c0s13b0n0,12,11.592592592592593
x3002c0s13b0n0,16,1.9074074074074066
x3002c0s13b0n0,18,1.9074074074074066
x3002c0s13b0n0,19,9.866666666666667
x3002c0s13b0n0,46,2.4074074074074066
x3002c0s13b0n0,48,8.0
x3002c0s13b1n0,2,6.5
x3002c0s13b1n0,3,7.0
x3002c0s13b1n0,7,6.0
x3002c0s13b1n0,16,6.0
x3002c0s13b1n0,18,6.5
x3002c0s13b1n0,23,8.9
x3002c0s13b1n0,24,6.333333333333333
x3002c0s13b1n0,46,7.0
x3002c0s13b1n0,47,8.931034482758621
x3002c0s13b1n0,48,7.0
x3002c0s1b0n0,2,8.5
x3002c0s1b0n0,3,4.0
x3002c0s1b0n0,7,8.0
x3002c0s1b0n0,10,8.483870967741936
x3002c0s1b0n0,16,8.5
x3002c0s1b0n0,18,8.5
x3002c0s1b0n0,26,3.0
x3002c0s1b0n0,45,4.254237288135593
x3002c0s1b0n0,46,8.0
x3002c0s25b0n0,3,4.8
x3002c0s25b0n0,5,5.0
x3002c0s25b0n0,45,5.0
x3002c0s31b0n0,2,9.5
x3002c0s31b0n0,3,5.0
x3002c0s31b0n0,7,9.0
x3002c0s31b0n0,16,10.0
x3002c0s31b0n0,18,9.5
x3002c0s31b0n0,24,0.0
x3002c0s31b0n0,25,9.0
x3002c0s31b0n0,28,0.0
x3002c0s31b0n0,29,0.3333333333333339
x3002c0s31b0n0,32,10.666666666666666
x3002c0s31b0n0,34,0.0
x3002c0s31b0n0,38,9.8
x3002c0s31b0n0,40,5.0
x3002c0s31b0n0,41,0.0
x3002c0s31b0n0,42,1.5769230769230769
x3002c0s31b0n0,46,9.0
x3002c0s31b1n0,0,3.0
x3002c0s31b1n0,2,8.5
x3002c0s31b1n0,3,4.0
x3002c0s31b1n0,7,8.0
x3002c0s31b1n0,16,8.5
x3002c0s31b1n0,18,8.5
x3002c0s31b1n0,34,3.0
x3002c0s31b1n0,35,5.0
x3002c0s31b1n0,36,8.848484848484848
x3002c0s31b1n0,46,8.0
x3002c0s37b0n0,1,0.2
x3002c0s37b0n0,2,8.5
x3002c0s37b0n0,3,5.0
x3002c0s37b0n0,7,9.0
x3002c0s37b0n0,13,10.0
x3002c0s37b0n0,15,0.0
x3002c0s37b0n0,16,9.0
x3002c0s37b0n0,17,0.8
x3002c0s37b0n0,18,8.5
x3002c0s37b0n0,20,0.25
x3002c0s37b0n0,21,9.8
x3002c0s37b0n0,24,0.0
x3002c0s37b0n0,28,0.0
x3002c0s37b0n0,29,0.75
x3002c0s37b0n0,31,1.75
x3002c0s37b0n0,33,9.0
x3002c0s37b0n0,34,0.0
x3002c0s37b0n0,37,0.0
x3002c0s37b0n0,39,
x3002c0s37b0n0,41,0.0
x3002c0s37b0n0,44,
x3002c0s37b0n0,46,9.0
x3002c0s37b1n0,2,3.5
x3002c0s37b1n0,3,4.9
x3002c0s37b1n0,7,3.0
x3002c0s37b1n0,16,3.5
x3002c0s37b1n0,18,3.5
x3002c0s37b1n0,30,5.0
x3002c0s37b1n0,46,4.0
x3002c0s7b0n0,2,10.5
x3002c0s7b0n0,3,0.0
x3002c0s7b0n0,4,11.987951807228916
x3002c0s7b0n0,7,11.0
x3002c0s7b0n0,8,13.0
x3002c0s7b0n0,9,0.0
x3002c0s7b0n0,11,0.0
x3002c0s7b0n0,14,0.0
x3002c0s7b0n0,16,10.5
x3002c0s7b0n0,18,11.0
x3002c0s7b0n0,22,0.0
x3002c0s7b0n0,27,0.0
x3002c0s7b0n0,28,0.0
x3002c0s7b0n0,29,0.0
x3002c0s7b0n0,41,0.0
x3002c0s7b0n0,43,0.0
x3002c0s7b0n0,46,11.0
x3003c0s19b0n0,2,3.5
x3003c0s19b0n0,3,3.9
x3003c0s19b0n0,7,3.0
x3003c0s19b0n0,16,3.0
x3003c0s19b0n0,18,3.0
x3003c0s19b0n0,46,3.0
x3003c0s19b0n0,49,5.0
