node,task_id,mean_est
x3002c0s19b1n0,8,6.666666666666667
x3002c0s19b1n0,10,7.0
x3002c0s19b1n0,11,7.0
x3002c0s19b1n0,13,8.0
x3002c0s19b1n0,14,7.0
x3002c0s19b1n0,19,0.0
x3002c0s19b1n0,22,6.5
x3002c0s19b1n0,24,7.0
x3002c0s19b1n0,27,7.0
x3002c0s19b1n0,28,6.0
x3002c0s19b1n0,35,6.0
x3002c0s19b1n0,37,6.0
x3002c0s19b1n0,38,7.0
x3002c0s19b1n0,39,7.0
x3002c0s19b1n0,43,7.0
x3002c0s1b0n0,0,6.0
x3002c0s1b0n0,8,6.0
x3002c0s1b0n0,10,6.0
x3002c0s1b0n0,16,10.0
x3002c0s1b0n0,19,0.0
x3002c0s1b0n0,22,6.0
x3002c0s1b0n0,24,7.0
x3002c0s1b0n0,27,6.0
x3002c0s1b0n0,29,5.0
x3002c0s1b0n0,35,6.0
x3002c0s1b0n0,38,6.0
x3002c0s1b0n0,39,7.0
x3002c0s1b0n0,47,6.0
x3002c0s1b1n0,0,6.0
x3002c0s1b1n0,8,6.666666666666667
x3002c0s1b1n0,10,6.0
x3002c0s1b1n0,12,0.0
x3002c0s1b1n0,14,6.5
x3002c0s1b1n0,16,7.0
x3002c0s1b1n0,22,6.0
x3002c0s1b1n0,24,7.0
x3002c0s1b1n0,27,7.0
x3002c0s1b1n0,29,6.0
x3002c0s1b1n0,38,7.0
x3002c0s1b1n0,39,7.0
x3002c0s1b1n0,47,7.0
x3002c0s1b1n0,48,0.0
x3002c0s25b0n0,1,
x3002c0s25b0n0,4,10.0
x3002c0s25b0n0,8,10.0
x3002c0s25b0n0,11,10.0
x3002c0s25b0n0,14,10.5
x3002c0s25b0n0,21,
x3002c0s25b0n0,22,10.0
x3002c0s25b0n0,24,11.0
x3002c0s25b0n0,28,10.0
x3002c0s25b0n0,29,9.0
x3002c0s25b0n0,30,10.0
x3002c0s25b0n0,32,11.0
x3002c0s25b0n0,35,10.0
x3002c0s25b0n0,36,11.0
x3002c0s25b0n0,38,10.0
x3002c0s25b0n0,39,11.0
x3002c0s25b0n0,44,
x3002c0s25b0n0,45,9.75
x3002c0s25b1n0,3,
x3002c0s25b1n0,7,0.0
x3002c0s25b1n0,8,5.666666666666667
x3002c0s25b1n0,14,5.5
x3002c0s25b1n0,15,8.0
x3002c0s25b1n0,21,
x3002c0s25b1n0,22,5.0
x3002c0s25b1n0,23,
x3002c0s25b1n0,24,6.0
x3002c0s25b1n0,28,5.0
x3002c0s25b1n0,29,5.0
x3002c0s25b1n0,30,5.0
x3002c0s25b1n0,32,6.0
x3002c0s25b1n0,33,3.5
x3002c0s25b1n0,35,5.0
x3002c0s25b1n0,37,0.0
x3002c0s25b1n0,38,6.0
x3002c0s25b1n0,39,6.0
x3002c0s25b1n0,44,
x3002c0s25b1n0,45,5.75
x3002c0s25b1n0,48,0.3333333333333333
x3002c0s31b0n0,3,3.0
x3002c0s31b0n0,4,4.0
x3002c0s31b0n0,8,3.6666666666666665
x3002c0s31b0n0,14,4.5
x3002c0s31b0n0,15,3.5
x3002c0s31b0n0,22,3.5
x3002c0s31b0n0,23,3.0
x3002c0s31b0n0,24,4.0
x3002c0s31b0n0,27,4.0
x3002c0s31b0n0,29,3.0
x3002c0s31b0n0,35,4.0
x3002c0s31b0n0,38,4.0
x3002c0s31b0n0,39,4.0
x3002c0s31b0n0,41,5.0
x3002c0s31b0n0,47,3.9583333333333335
x3004c0s31b0n0,3,3.0
x3004c0s31b0n0,11,4.0
x3004c0s31b0n0,13,5.0
x3004c0s31b0n0,14,4.5
