Metrics,Median,Mean,Max,Std Dev
GPUs active (per job),2.0,2.5695652173913044,4.0,1.2272042396221958
"GPU duration (per job, sec)",1288.9901230335236,1719.60445895506,9851.06070280075,1615.8722845833038
GPU util peak (per job),34.0,39.108695652173914,99.0,26.684675019706955
