Metrics,Median,Mean,Max,Std Dev
GPUs active (per job),4.0,4.0,4.0,0.0
"GPU duration (per job, sec)",172.76562345027924,258.0951242331999,1338.2324991226196,207.33024471949307
GPU util peak (per job),20.0,19.055722891566266,38.0,4.0891216714219745
